comment daily death counts in affected countries
comment preceding _smooth mobility from Apple by 21d
comment Julian day 61/68:Sundays
array data
  typeOfArray float
 dimension 343 41
head
	"Days_from_60"
	"Belgium_fatal"
	"France_fatal"
	"Germany_fatal"
	"Iran_fatal"
	"Ireland_fatal"
	"Italy_fatal"
	"Netherlands_fatal"
	"Portugal_fatal"
	"Spain_fatal"
	"Sweden_fatal"
	"Switzerland_fatal"
	"United Kingdom_fatal"
	"Georgia_fatal"
	"Indiana_fatal"
	"Louisiana_fatal"
	"Massachusetts_fatal"
	"Michigan_fatal"
	"New Jersey_fatal"
	"New York_fatal"
	"Washington_fatal"
	"Belgium_mobil"
	"France_mobil"
	"Germany_mobil"
	"Iran_mobil"
	"Ireland_mobil"
	"Italy_mobil"
	"Netherlands_mobil"
	"Portugal_mobil"
	"Spain_mobil"
	"Sweden_mobil"
	"Switzerland_mobil"
	"United Kingdom_mobil"
	"Georgia_mobil"
	"Indiana_mobil"
	"Louisiana_mobil"
	"Massachusetts_mobil"
	"Michigan_mobil"
	"New Jersey_mobil"
	"New York_mobil"
	"Washington_mobil"
data
	13	0.105	0.273	0.035	10.874	0.075	5.823	0.361	0.012	1.670	0.178	0.396	0.241	0.025	0.046	0.160	0.000	0.021	0.092	0.236	0.872	101.451	103.289	105.343	-1.000	104.790	103.206	100.191	106.021	107.358	100.870	101.263	103.869	99.462	102.499	109.509	101.327	102.139	101.389	100.774	99.582
	14	0.154	0.296	0.047	11.838	0.067	6.544	0.532	0.028	2.216	0.270	0.549	0.328	0.062	0.057	0.240	0.000	0.024	0.173	0.380	1.014	101.015	103.023	104.401	-1.000	102.908	99.676	99.020	106.144	106.705	100.483	100.677	102.491	99.778	102.311	112.089	100.898	102.266	100.752	100.222	98.826
	15	0.236	0.455	0.068	12.719	0.067	7.429	0.717	0.049	2.741	0.376	0.681	0.446	0.135	0.063	0.368	0.006	0.028	0.295	0.599	1.141	100.489	103.189	103.507	-1.000	101.039	95.009	98.097	106.215	106.317	99.945	100.408	100.913	100.257	101.309	113.013	100.180	101.498	100.407	99.536	98.421
	16	0.428	0.759	0.097	13.373	0.075	8.588	0.955	0.093	3.466	0.488	0.916	0.565	0.229	0.080	0.536	0.017	0.038	0.433	0.894	1.220	100.111	103.090	103.209	-1.000	99.697	90.021	97.463	105.849	106.683	99.658	100.189	99.694	101.981	100.896	113.914	100.293	101.289	100.054	98.826	98.558
	17	0.679	1.074	0.124	13.731	0.067	10.013	1.249	0.155	4.314	0.605	1.213	0.667	0.320	0.114	0.672	0.050	0.087	0.572	1.246	1.368	99.425	103.009	102.222	-1.000	98.174	84.601	97.302	104.826	106.806	99.080	98.921	98.882	103.161	100.869	110.718	100.624	101.113	99.865	98.929	98.859
	18	0.899	1.335	0.148	13.776	0.083	11.302	1.574	0.232	5.557	0.766	1.643	0.778	0.400	0.149	0.848	0.117	0.171	0.774	1.640	1.506	98.491	102.311	101.392	-1.000	97.422	79.043	96.795	102.468	106.239	98.462	96.821	98.384	105.217	101.224	106.358	100.853	100.608	99.639	98.953	99.871
	19	1.076	1.677	0.180	13.649	0.141	12.222	1.937	0.328	6.992	0.978	1.960	0.957	0.462	0.194	1.136	0.216	0.300	1.075	2.178	1.569	97.851	101.090	101.533	-1.000	98.052	74.371	96.566	98.804	106.149	97.711	95.915	98.220	106.237	101.816	102.414	100.988	100.290	99.267	98.954	100.215
	20	1.419	2.136	0.231	13.404	0.208	13.168	2.381	0.467	8.769	1.254	2.175	1.289	0.535	0.251	1.656	0.305	0.498	1.514	2.915	1.638	96.413	99.769	100.815	-1.000	98.758	71.541	96.125	94.575	105.486	97.377	94.617	97.708	106.989	102.330	100.226	100.917	100.376	99.647	99.215	99.691
	21	1.924	2.710	0.297	13.201	0.333	14.107	2.961	0.628	10.765	1.549	2.435	1.737	0.633	0.337	2.200	0.427	0.791	2.057	3.869	1.749	95.230	98.747	99.974	-1.000	99.911	70.165	95.837	93.355	105.179	96.841	93.511	97.554	106.488	102.966	97.794	101.579	100.236	99.882	99.509	98.738
	22	2.506	3.227	0.379	13.095	0.541	14.908	3.653	0.822	13.111	1.896	3.000	2.266	0.727	0.434	2.952	0.633	1.185	2.686	5.105	1.902	94.592	97.669	99.334	-1.000	100.193	69.111	95.478	92.275	105.006	96.217	92.615	97.370	105.509	104.433	96.050	101.161	101.181	100.202	99.954	97.677
	23	3.044	3.666	0.473	13.062	0.857	15.692	4.376	1.057	15.133	2.261	3.479	2.906	0.818	0.577	3.784	0.894	1.638	3.536	6.691	2.092	94.371	96.775	98.373	-1.000	100.006	67.719	95.090	91.636	104.237	95.607	91.677	97.142	104.352	105.663	95.990	100.688	101.608	100.845	100.626	95.503
	24	3.669	4.032	0.593	13.033	1.215	16.245	5.166	1.301	17.089	2.668	3.855	3.635	0.920	0.709	4.600	1.094	2.095	4.506	8.573	2.309	94.778	95.634	97.638	-1.000	99.868	65.707	95.004	91.070	103.706	95.514	91.183	96.647	105.073	105.601	97.137	99.349	101.502	100.716	100.071	92.698
